team	player	faction	list	objective	wrname	tcname	id	cost
Australia Wallaby	Russell Harman	cryx	Scaverous1	Fuel Cache	Lord Exhumator Scaverous – WJ: +27	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
Australia Wallaby	Russell Harman	cryx	Deneghra1	Effigy of Valour	Warwitch Deneghra – WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
Australia Wallaby	Henry Wagner	legion	Thagrosh1	Armory	Thagrosh, Prophet of Everblight - WB: +28	Thagrosh1 (Thagrosh Prophet of Everblight)	EW02	28
Australia Wallaby	Henry Wagner	legion	Lylyth3	Arcane Wonder	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Australia Wallaby	Rohan Mowle	protectorate	Reznik1	Stockpile	High Executioner Servath Reznik - WJ: +28	Reznik1 (High Executioner Servath Reznik)	PW07	28
Australia Wallaby	Rohan Mowle	protectorate	High Reclaimer1	Fuel Cache	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Australia Wallaby	Liam Gallagher	minions	Arkadius1	Fuel Cache	Dr. Arkadius - WB: +32	 Arkadius1 (Dr. Arkadius)	IW04	32
Australia Wallaby	Liam Gallagher	minions	Carver1	Arcane Wonder	Lord Carver, BMMD, Esq. III - WB: +28	Carver1 (Lord Carver BMMD Esq. III)	IW01	28
Australia Wallaby	Dimitri Sarbanis	protectorate	Severius2	Effigy of Valour	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Australia Wallaby	Dimitri Sarbanis	protectorate	Harbinger1	Bunker	The Harbinger of Menoth - WJ: +24	Harbinger1 (The Harbinger of Menoth)	PW06	24
Australia Echidna	Chris Davies	khador	Strakhov1	NA	Kommander Oleg Strakhov - WJ: +28	 Strakhov1 (Kommander Oleg Strakhov)	KW08	28
Australia Echidna	Chris Davies	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Australia Echidna	Dylan Simmer	retribution	Rahn1	NA	Adeptis Rahn - WJ: +26	 Rahn1 (Adeptis Rahn)	RW01	26
Australia Echidna	Dylan Simmer	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Australia Echidna	Jack Ding	protectorate	High Reclaimer1	NA	The High Reclaimer - WJ: +32	High Reclaimer1 (The High Reclaimer)	PW02	32
Australia Echidna	Jack Ding	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza - WJ: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Australia Echidna	Tom Guan	circle	Kaya2	NA	Kaya the Moonhunter - WB: +24	Kaya2 (Kaya the Moonhunter & Laris)	OW12	24
Australia Echidna	Tom Guan	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Australia Echidna	Colin Hill	minions	Rask1 	NA	Rask - WB: +27	 Rask1 	IW10	27
Australia Echidna	Colin Hill	minions	Calaban1	NA	Calaban - WB: +29	 Calaban1 (Calaban the Grave Walker)	IW03	29
Australia Koala	Aaron Wale	cryx	Skarre1	NA	Pirate Queen Skarre - WJ: +28	Skarre1 (Pirate Queen Skarre)	CW03	28
Australia Koala	Aaron Wale	cryx	Scaverous1	NA	Lord Exhumator Scaverous - WJ: +27	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
Australia Koala	Jeff Galea	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Australia Koala	Jeff Galea	retribution	Helynna1	NA	Magister Helynna - WJ: +30	 Helynna1 (Magister Helynna)	RW09	30
Australia Koala	David Potts	skorne	Xerxis1	NA	Tyrant Xerxis - WB: +28	 Xerxis1 (Tyrant Xerxis)	SW04	28
Australia Koala	David Potts	skorne	Naaresh1	NA	Master Ascetic Naaresh - WB: +32	 Naaresh1 (Master Ascetic Naaresh)	SW08	32
Australia Koala	Peter Bates	protectorate	Reznik2	NA	Servath Reznik, Wrath of Ages - WJ: +29	Reznik2 (Servath Reznik Wrath of Ages)	PW16	29
Australia Koala	Peter Bates	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Australia Koala	Josh Bates	cygnar	Caine2	NA	Captain Allister Caine - WJ: +27	Caine2 (Captain Allister Caine)	YW14	27
Australia Koala	Josh Bates	cygnar	Haley3	NA	Major Prime Victoria Haley - WJ: +25	Haley3 (Major Prime Victoria Haley)	YW16	25
Austria 1		retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard [+27]	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Austria 1		retribution	Ossyan1	NA	Lord Arcanist Ossyan [+28]	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Austria 1		convergence	Iron Mother Directrix	NA	Iron Mother Directrix [+27]	Iron Mother Directrix (Iron Mother Directrix & Exponent Servitors)	COCW03	27
Austria 1		convergence	Lucant	NA	Father Lucant, Divinity Architect [+28]	Lucant (Father Lucant Divinity Architect)	COCW04	28
Austria 1		skorne	Hexeris2	NA	Lord Arbiter Hexeris [+27]	 Hexeris2 (Lord Arbiter Hexeris)	SW12	27
Austria 1		skorne	Naaresh1	NA	Master Ascetic Naaresh [+32]	 Naaresh1 (Master Ascetic Naaresh)	SW08	32
Austria 1		khador	Vladimir3	NA	Vladimir Tzepesci, Great Prince of Umbrey [+27]	 Vladimir3 (Vladimir Tzepesci Great Prince of Umbrey)	KW17	27
Austria 1		khador	Butcher3	NA	Kommander Zoktavir, The Butcher Unleashed [+22]	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Austria 1		cryx	Skarre1	NA	Pirate Queen Skarre [+28]	Skarre1 (Pirate Queen Skarre)	CW03	28
Austria 1		cryx	Witch Coven	NA	The Witch Coven of Garlghast [+26]	Witch Coven (The Witch Coven of Garlghast & Egregore)	CW06	26
Austria 2	Raghnath	khador	Butcher3	Arcane Wonder - Steamroller Objective	Kommander Zoktavir, the Butcher Unleashed - WJ: +22	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Austria 2	Raghnath	khador	Irusk2	Arcane Wonder - Steamroller Objective	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Austria 2	JustDan	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Austria 2	JustDan	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Austria 2	DCM	cygnar	Darius1	NA	Captain E. Dominic Darius - WJ: +29	Darius1 (Captain E. Dominic Darius & Halfjacks)	YW07	29
Austria 2	DCM	cygnar	Caine2	NA	Captain Allister Caine - WJ: +27	Caine2 (Captain Allister Caine)	YW14	27
Austria 2	Snot	trollbloods	Calandra	NA	Calandra Truthsayer, Oracle of the Glimmerwood - WB: +27	Calandra (Calandra Truthsayer Oracle of the Glimmerwood)	TW06	27
Austria 2	Snot	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Austria 2	Mr.Wu	minions	Barnabas 1	NA	Bloody Barnabas - WB: +28	Barnabas 1 (Bloody Barnabas)	IW02	28
Austria 2	Mr.Wu - Sturm&Drang1	minions	Sturm & Drang1 	NA	Sturm & Drang - WB: +28	 Sturm & Drang1 	IW06	28
Belgium Prinzesschen		cygnar	Maddox1	NA	(Maddox 1) Major Beth Maddox [+30]	Maddox1 (Major Beth Maddox)	YW11	30
Belgium Prinzesschen		cygnar	Haley3	NA	(Haley 3) Major Prime Victoria Haley [+25]	Haley3 (Major Prime Victoria Haley)	YW16	25
Belgium Prinzesschen		retribution	Vyros2	NA	Vyros2 (Vyros Incissar of the Dawnguard) (-27 Pts.)	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Belgium Prinzesschen		retribution	Kaelyssa1	NA	Kaelyssa1 (Kaelyssa Night's Whisper) (-29 Pts.)	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Belgium Prinzesschen		protectorate	Amon1	NA	(Amon 1) High Allegiant Amon Ad-Raza [+29]	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Belgium Prinzesschen		protectorate	High Reclaimer1	NA	(High Reclaimer 1) The High Reclaimer [+32]	High Reclaimer1 (The High Reclaimer)	PW02	32
Belgium Prinzesschen		cygnar	Kara Sloan1	NA	Captain Kara Sloan - WJ: +28	Kara Sloan1 (Captain Kara Sloan)	YW08	28
Belgium Prinzesschen		cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Belgium Prinzesschen		trollbloods	Ragnor	NA	Ragnor Skysplitter, the Runemaster - WB: +30	Ragnor (Ragnor Skysplitter The Runemaster)	TW09	30
Belgium Prinzesschen		trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Belgium Victorious		cryx	Skarre2	NA	Skarre, Queen of the Broken Coast - WJ: +26	Skarre2 (Skarre, Queen of the Broken Coast)	CW14	26
Belgium Victorious		cryx	Scaverous1	NA	Lord Exhumator Scaverous - WJ: +27	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
Belgium Victorious		khador	Sorscha1	NA	Kommander Sorscha - WJ: +29	 Sorscha1 (Kommander Sorscha)	KW02	29
Belgium Victorious		khador	Irusk1	NA	Kommandant Irusk - WJ: +27	 Irusk1 (Kommandant Irusk)	KW04	27
Belgium Victorious		legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Belgium Victorious		legion	Kallus1	NA	Kallus, Wrath of Everblight - WB: +30	Kallus1 (Kallus Wrath of Everblight)	EW08	30
Belgium Victorious		khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Belgium Victorious		khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Belgium Victorious		mercenaries	Magnus2	NA	Magnus the Warlord - WJ: +28	Magnus2 (Magnus the Warlord)	MW13	28
Belgium Victorious		mercenaries	Ossrum1	NA	General Ossrum - WJ: +28	Ossrum1 (General Ossrum)	MW10	28
Canada Goose	David Beauchamp - Captain	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Canada Goose	David Beauchamp - Captain	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Canada Goose	Bubba Dalton	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Canada Goose	Bubba Dalton	khador	Karchev1	NA	Karchev the Terrible - WJ: +30	 Karchev1 (Karchev the Terrible)	KW05	30
Canada Goose	Chandler Davidson	protectorate	Kreoss3	NA	Intercessor Kreoss - WJ: +28	Kreoss3 (Intercessor Kreoss)	PW17	28
Canada Goose	Chandler Davidson	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Canada Goose	Tim Fung	circle	Tanith1	NA	Tanith the Feral Song - WB: +31	Tanith1 (Tanith the Feral Song)	OW15	31
Canada Goose	Tim Fung	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Canada Goose	Chris Orr	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Canada Goose	Chris Orr	legion	Kallus1	NA	Kallus, Wrath of Everblight - WB: +30	Kallus1 (Kallus Wrath of Everblight)	EW08	30
